상태,STATUS
등록일자,REG_DT
수정일자,UPT_DT
등록아이디,REG_ID
수정아이디,UPT_ID
아이디,ID
구분,DIV
상품번호,GOODS_NUM
상품명,GOODS_NAME
상품카테고리1,GOODS_CATE_1
상품카테고리2,GOODS_CATE_2
컬러,COLOR
브랜드명,BRAND_NAME
URL,URL
소재,MATERIALS
사이즈,SIZE
평점,AVG_POINT
재고량,STOCK_AMOUNT
오픈마켓재고량,OPEN_MARKET_STOCK_AMOUNT
상품이미지,GOODS_IMAGE
정가,PRICE
할인가,DISCOUNT_PRICE
할인시작일,DISCOUNT_START_DT
출시일,RELEASE_DT
판매기간,SELL_PRD
재고소진일,SOLD_OUT_DT
제조원산지,MAFT_ORIGIN
상품아이디,GOODS_ID
어드민아이디,ADMIN_ID
어드민명,ADMIN_NAME
패스워드,PWD
액션,ACTION
메뉴명,MENU_NAME
부모메뉴아이디,PARENT_MENU_ID
순서,SEQ
스케줄러이름,SCHEDULER_NAME
실행클래스,ACT_CLASS
실행패턴,ACT_PATTERN
설명,DESCR
입력건수,INPUT_CNT
실패건수,FAIL_CNT
실행일자,ACT_DT
종료일자,END_DT
스케줄러아이디,SCHEDULER_ID
전체건수,TOTAL_CNT
수정건수,UPT_CNT
메뉴1아이디,MENU1_ID
메뉴2아이디,MENU2_ID
메뉴3아이디,MENU3_ID
할인율,DISCOUNT_RATE
판매종료일,SELL_CLOSE_DT
작업인스턴스아이디,JOB_ID
버전,VERSION
작업명,JOB_NAME
작업키,JOB_KEY
작업실행아이디,JOB_ACT_ID
시작시간,START_TIME
종료시간,END_TIME
종료코드,EXIT_CODE
종료메시지,EXIT_MSG
최종수정,LAST_UPT
요약구문,SHORT
직렬화구문,SERIALIZED
타입코드,TYPE_CODE
키명,KEY_NAME
스트링형값,STRING_VALUE
날짜형값,DATE_VALUE
롱형값,LONG_VALUE
더블형값,DOUBLE_VALUE
구분자,IDENTIFYING
단계실행아이디,STEP_ACT_ID
단계명,STEP_NAME
커밋건수,COMMINT_CNT
읽음건수,READ_CNT
필터건수,FILTER_CNT
쓰기건수,WRITE_CNT
읽기무시건수,READ_IGNORE_COUNT
쓰기무시건수,WRITE_IGNORE_COUNT
진행무시건수,PROCESS_IGNORE_COUNT
롤백건수,ROLLBACK_CNT
슈퍼유저여부,SUPER_USER_YN
색상,COLOR
수집일,COLLECT_DAY
사이트,SITE
타입,TYPE
상품평점,GOODS_RATING
상품평,GOODS_COMMENT
비율,RATIO
건수,CNT
코드,CODE
그룹코드,GROUP_CODE
코드명,CODE_NAME
카테고리1,CATE_ONE
카테고리2,CATE_TWO
기준카테고리1,STD_CATE_1
기준카테고리2,STD_CATE_2
수집URL,COLLECT_URL
구성파트,COMPOSED_PART
접근레벨,ACCESS_LEVEL
상품구성,GOODS_COMPOSED
경쟁사브랜드명,COMPTR_BRAND_NAME
검색어,SEARCH_KEYWORD
순위,RANK
출처코드,ORIGIN_CODE
검색어아이디,SEARCH_KEYWORD_ID
동의어,SYNONYM
상품카테고리3,GOODS_CATE_3
상품카테고리4,GOODS_CATE_4
카테고리3,CATE_THREE
카테고리4,CATE_FOUR
기준카테고리3,STD_CATE_3
기준카테고리4,STD_CATE_4
베스트아이템여부,BEST_ITEM_YN
브랜드아이디,BRAND_ID
브랜드코드,BRAND_CODE
상위코드,UPPER_CODE
경쟁사브랜드코드,COMPTR_BRAND_CODE
판매량,SELL_AMOUNT
순위변동,RANK_CHANGE
시작일자,START_DT
종료일자,END_DT
수집년도,COLLECT_YEAR
수집주차,COLLECT_WEEK
출시년도,RELEASE_YEAR
출시주차,RELEASE_WEEK
SKU아이디,SKU_ID
SKU명,SKU_NAME
SKU번호,SKU_NUM
서비스명,SERVICE_NAME
구현클래스,IMPL_CLASS
다음작업아이디,NEXT_JOB_ID
서비스아이디,SERVICE_ID
강제실행여부,FORCE_ACT_YN
다음실행패턴,NEXT_ACT_PATTERN
작업아이디,JOB_ID
이관테이블명,TRANS_TB_NAME
비즈아이디1,BIZ_ID_1
비즈아이디2,BIZ_ID_2
비즈아이디3,BIZ_ID_3
비즈아이디4,BIZ_ID_4
백업URL,BACKUP_URL
성별,GENDER
나이,AGE
전화번호,MSISDN
취미,HOBBY
